lat0,lat1,LONGITUDE,LATITUDE,,,,,,
-10222073.15,6092493.072,-102.2207315,60.92493072,,,,,,
-12473116.45,4108024.917,-124.7311645,41.08024917,,,,,,
-8902931.133,4479072.943,-89.02931133,44.79072943,,,,,,
-9871543.566,4435824.117,-98.71543566,44.35824117,,,,,,
-10345863.61,4337609.265,-103.4586361,43.37609265,,,,,,
-7936231.162,5328599.11,-79.36231162,53.2859911,,,,,,
-8762145.121,4281305.585,-87.62145121,42.81305585,,,,,,
-10262983.81,4185420.458,-102.6298381,41.85420458,,,,,,
-8179883.308,4964835.081,-81.79883308,49.64835081,,,,,,
-9082043.823,3319355.793,-90.82043823,33.19355793,,,,,,
-10070791.15,4684930.503,-100.7079115,46.84930503,,,,,,
-8637393.763,4089188.068,-86.37393763,40.89188068,,,,,,
-10024891.59,4333408.044,-100.2489159,43.33408044,,,,,,
-10271408.61,4201060.198,-102.7140861,42.01060198,,,,,,
-8765239.657,4233653.991,-87.65239657,42.33653991,,,,,,
-9169457.95,3464005.646,-91.6945795,34.64005646,,,,,,
-10057895.98,4748824.514,-100.5789598,47.48824514,,,,,,
-12543904.9,4096610.13,-125.439049,40.9661013,,,,,,
-8950604.542,4468248.68,-89.50604542,44.6824868,,,,,,
-8521130.31,5174725.081,-85.2113031,51.74725081,,,,,,
-8750634.211,4206004.085,-87.50634211,42.06004085,,,,,,
-10389111.55,5621653.569,-103.8911155,56.21653569,,,,,,
-9776128.162,5249451.469,-97.76128162,52.49451469,,,,,,
-17598118.23,2434202.556,-175.9811823,24.34202556,,,,,,
-9717341.325,4379750.754,-97.17341325,43.79750754,,,,,,
-9950606.276,4304950.395,-99.50606276,43.04950395,,,,,,
-9688981.875,4355164.042,-96.88981875,43.55164042,,,,,,
-9881691.723,4290646.635,-98.81691723,42.90646635,,,,,,
-9900917.436,4297645.966,-99.00917436,42.97645966,,,,,,
-9801924.811,4169764.296,-98.01924811,41.69764296,,,,,,
-9839909.964,4252247.174,-98.39909964,42.52247174,,,,,,
-9754645.523,4296941.618,-97.54645523,42.96941618,,,,,,
-9853088.197,4340826.997,-98.53088197,43.40826997,,,,,,
-9809195.349,4252572.28,-98.09195349,42.5257228,,,,,,
-9925830.014,4282669.131,-99.25830014,42.82669131,,,,,,
-9621459.103,4291493.623,-96.21459103,42.91493623,,,,,,
-9892568.704,4226492.867,-98.92568704,42.26492867,,,,,,
-9837955.835,4331633.591,-98.37955835,43.31633591,,,,,,
-9750096.723,4340037.919,-97.50096723,43.40037919,,,,,,
-9822730.576,4165789.544,-98.22730576,41.65789544,,,,,,
-9693357.062,4365779.356,-96.93357062,43.65779356,,,,,,
-9861784.311,4276532.101,-98.61784311,42.76532101,,,,,,
-9888761.983,4255591.913,-98.88761983,42.55591913,,,,,,
-9702072.032,4203040.717,-97.02072032,42.03040717,,,,,,
-8759128.848,4292755.499,-87.59128848,42.92755499,,,,,,
